family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2,mean_actual_mw,median_actual_mw,p10_actual_mw,p90_actual_mw,MAE_percent_of_mean,MAE_percent_of_median
baseline,pred_B0_same_hour_previous_day,96,holdout,8615,12.329647719239716,16.11103226459615,9.75715150000002,26.791928799999994,32.87747802499997,0.05445198488102143,0.03933978300384211,0.9097604145744075,309.6312977542073,292.32350125,253.32155755,394.5787484,3.9820418054208733,4.217809264912709
baseline,pred_B0_same_hour_previous_day,120,validate,3624,13.81702700462197,18.087039255015323,10.966199250000017,29.217635424999976,36.57192269999997,0.6249588426462473,0.04094276528203151,0.8446933598987099,336.75393188417434,336.531726875,272.780849925,397.0144116,4.103003913663078,4.105713043143213
baseline,pred_B0_same_hour_previous_day,120,holdout,8615,12.329647719239716,16.11103226459615,9.75715150000002,26.791928799999994,32.87747802499997,0.05445198488102143,0.03933978300384211,0.9097604145744075,309.6312977542073,292.32350125,253.32155755,394.5787484,3.9820418054208733,4.217809264912709
baseline,pred_B0_same_hour_previous_day,144,validate,3624,13.81702700462197,18.087039255015323,10.966199250000017,29.217635424999976,36.57192269999997,0.6249588426462473,0.04094276528203151,0.8446933598987099,336.75393188417434,336.531726875,272.780849925,397.0144116,4.103003913663078,4.105713043143213
baseline,pred_B0_same_hour_previous_day,144,holdout,8615,12.329647719239716,16.11103226459615,9.75715150000002,26.791928799999994,32.87747802499997,0.05445198488102143,0.03933978300384211,0.9097604145744075,309.6312977542073,292.32350125,253.32155755,394.5787484,3.9820418054208733,4.217809264912709
baseline,pred_B0_same_hour_previous_day,168,validate,3624,13.81702700462197,18.087039255015323,10.966199250000017,29.217635424999976,36.57192269999997,0.6249588426462473,0.04094276528203151,0.8446933598987099,336.75393188417434,336.531726875,272.780849925,397.0144116,4.103003913663078,4.105713043143213
baseline,pred_B0_same_hour_previous_day,168,holdout,8615,12.329647719239716,16.11103226459615,9.75715150000002,26.791928799999994,32.87747802499997,0.05445198488102143,0.03933978300384211,0.9097604145744075,309.6312977542073,292.32350125,253.32155755,394.5787484,3.9820418054208733,4.217809264912709
baseline,pred_B1_same_hour_previous_week,1,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,1,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
baseline,pred_B1_same_hour_previous_week,3,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,3,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
